epoch,model,train_loss,test_regret,decision_rmse,cost_rmse
1,pto,3.2460031649645638,3.11106082371303,0.5600232532110941,1.5277432427624615
2,pto,2.581357764262779,2.8430207116263255,0.5405371798591274,1.3851834984302194
3,pto,2.1407404179666556,2.688136237008231,0.5210387618611321,1.2941076064831338
4,pto,1.801491564395381,2.591637202671596,0.507774173841307,1.2324254787911426
5,pto,1.5336938161475986,2.445657185145787,0.4928974524099995,1.1790497671994442
6,pto,1.4582603749106913,2.3213987350463867,0.479470188056843,1.134604445923575
7,pto,1.3493470163906323,2.2037087168012346,0.46741211836701974,1.0990734483420008
8,pto,1.2411506316241097,2.0456444876534596,0.45069857975248934,1.0641474157579978
9,pto,1.131729387769512,1.9258811814444405,0.4396952690393265,1.0394515967443603
10,pto,1.1187762045392804,1.8092566898890905,0.4286484160983072,1.0128401519623107
11,pto,0.9607174197832743,1.6916794095720564,0.4179669409433897,0.9858911027931458
12,pto,1.0069679512697107,1.6038374219621931,0.40675597488472426,0.9694614874050044
13,pto,0.8853895430471382,1.509934425354004,0.39598314896767695,0.9438507776939645
14,pto,0.8244406078376022,1.4128339631216866,0.38553637458392864,0.9188360857879048
15,pto,0.8416691001723794,1.3217008113861084,0.3746006928688958,0.8938915952240947
16,pto,0.8377282829845653,1.2416689055306571,0.3645726047935508,0.8712892751564892
17,pto,0.7623390158017477,1.1767631258283342,0.3562321584340165,0.8505233243571455
18,pto,0.7554607613413942,1.1299621718270438,0.34915927125642754,0.8330196044373465
19,pto,0.6861252118559444,1.0754872390202113,0.3423797147192749,0.81300636693606
20,pto,0.6120805378053703,1.009685959134783,0.3344091787555664,0.7943487219994501
21,pto,0.633621522024566,0.9572711331503732,0.32802585479303653,0.7772130107269933
22,pto,0.5945968785706688,0.9046202387128558,0.3188925768834814,0.7586489930213706
23,pto,0.5528476787548439,0.8529832703726632,0.3112114525811771,0.7379189176659225
24,pto,0.5229640369321785,0.8158297538757324,0.3065143245264709,0.7253845698214463
25,pto,0.5444155452298183,0.7850405488695417,0.30202344541930315,0.7131933046744164
26,pto,0.5185140242763594,0.7565361091068813,0.2981612085664641,0.6998180211247441
27,pto,0.5247150922522825,0.7252547059740339,0.29347746940876396,0.6847555895152294
28,pto,0.5480885447240343,0.699955974306379,0.2905164700564918,0.6675301829005054
29,pto,0.48954277938487484,0.6880819967814854,0.28887885899243837,0.6618578201878134
30,pto,0.4966165306521397,0.6716083799089704,0.2858735024082184,0.6507893809918005
31,pto,0.4302789300095801,0.6583266939435687,0.2835098304572349,0.6442998138663616
32,pto,0.44474755373655583,0.6496616091047015,0.2821425851817139,0.6424728168125229
33,pto,0.4236438648373473,0.6379025152751377,0.2804682387420573,0.6373568440900759
34,pto,0.42357101627424654,0.617123910358974,0.27579312578765325,0.6253023124884061
35,pto,0.4329667886098226,0.6050968170166016,0.27285467821490317,0.6160858089435146
36,pto,0.39764847942427095,0.5951990910938808,0.2707514782407194,0.6105006737500578
37,pto,0.4087175136687709,0.5843515907015119,0.2687302559985462,0.6025657992338718
38,pto,0.3893304309424232,0.5687017100197929,0.26513673480765704,0.5928672366177593
