epoch,model,train_loss,decision_rmse,regret
1,pto,4.051112717273188,0.5976143046671968,4.754009655543736
2,pto,2.91715677579244,0.6035608621222174,4.832243510654995
3,pto,2.368836106038561,0.5976143046671968,4.87029538835798
4,pto,2.0604697863260903,0.5855400437691199,4.404431751796177
5,pto,1.8372130838094973,0.5976143046671968,4.51831899370466
6,pto,1.6507013568691178,0.5916079783099616,4.77754020690918
7,pto,1.6067184069577385,0.5855400437691199,4.672610282897949
8,pto,1.4648039153977936,0.5855400437691199,4.672610282897949
9,pto,1.3422189389958101,0.5855400437691199,4.519046238490513
10,pto,1.3343873982336008,0.5794085654478071,4.466837201799665
11,pto,1.2797032150567746,0.5794085654478071,4.258776119777134
12,pto,1.215201686410343,0.5855400437691199,4.30822399684361
13,pto,1.1710062658085543,0.5855400437691199,4.014701570783343
14,pto,1.1022213253320432,0.5794085654478071,3.906875337873186
15,pto,1.1186726934769575,0.5732115042211109,3.877422605242048
16,pto,1.0675506194432576,0.5732115042211109,3.892389569963728
17,pto,1.0361136268166935,0.5732115042211109,3.7823243822370256
18,pto,1.0213816352919036,0.560611910581388,3.505716323852539
19,pto,0.9932616504968381,0.5542047068934521,3.3141792842320035
20,pto,0.9666924196131089,0.5345224838248488,3.0870693751743863
21,pto,0.9809411483652452,0.5345224838248488,3.1147537231445312
22,pto,0.9323814803478765,0.5277986629117476,3.1166846411568776
23,pto,0.9252289042753332,0.5277986629117476,3.139699254717146
24,pto,0.8825667617367763,0.5277986629117476,3.139699254717146
25,pto,0.8463720971462774,0.5277986629117476,3.0679385321480885
26,pto,0.8382784128189087,0.5345224838248488,3.2647598811558316
27,pto,0.8533456641085008,0.5277986629117476,3.1125880650111606
28,pto,0.8124481486339196,0.5209880722517277,3.0038535254342213
29,pto,0.8110054614497166,0.5140872632984738,2.9439728600638255
30,pto,0.7799034597826939,0.50709255283711,2.7264650889805386
31,pto,0.7686759934705847,0.50709255283711,2.72354793548584
32,pto,0.7658529328364952,0.50709255283711,2.6437602043151855
33,pto,0.7603094332358417,0.49280538030458115,2.3152787344796315
34,pto,0.7288677540479922,0.47809144373375745,2.1910043443952287
35,pto,0.7006058318942201,0.47809144373375745,2.1910043443952287
36,pto,0.7006937183585822,0.4629100498862757,2.0136938776288713
37,pto,0.6985161538217582,0.4629100498862757,2.061544350215367
38,pto,0.6565463770838345,0.4472135954999579,1.9003074509756905
39,pto,0.6494301440669041,0.4472135954999579,1.9003074509756905
40,pto,0.6798921800127217,0.43915503282683993,1.7520433834620885
41,pto,0.6204645960938697,0.4309458036856673,1.731046199798584
42,pto,0.6207361548554664,0.4472135954999579,1.8424128804888045
43,pto,0.620671434729707,0.43915503282683993,1.6558592660086495
44,pto,0.6474713028645983,0.43915503282683993,1.6558592660086495
45,pto,0.5598092815455269,0.4472135954999579,1.6383333206176758
46,pto,0.5758830694591298,0.45512949491639976,1.7713119643075126
47,pto,0.5680237354016772,0.4472135954999579,1.5088271413530623
48,pto,0.5845594639871635,0.4472135954999579,1.5088271413530623
49,pto,0.5411407573550355,0.4472135954999579,1.491318907056536
50,pto,0.5336626452558181,0.4472135954999579,1.491318907056536
1,spo-plus,27.179550619686353,0.5976143046671968,4.580938066755023
